active_run,active_probe_id,sweep_label,proposal_mode,v15_failure_class,v15_weighted_abs_error,v13_weighted_abs_error,delta_weighted_abs_error,ratio_weighted_abs_error,v15_overall_abs_error,v13_overall_abs_error,delta_overall_abs_error,ratio_overall_abs_error,v15_C1_abs_error,v13_C1_abs_error,delta_C1_abs_error,ratio_C1_abs_error,v15_C3_abs_error,v13_C3_abs_error,delta_C3_abs_error,ratio_C3_abs_error,v15_A1_vector_error,v13_A1_vector_error,delta_A1_vector_error,ratio_A1_vector_error,v15_B2_vector_error,v13_B2_vector_error,delta_B2_vector_error,ratio_B2_vector_error,v15_A2_vector_error,v13_A2_vector_error,delta_A2_vector_error,ratio_A2_vector_error,v15_S3_vector_error,v13_S3_vector_error,delta_S3_vector_error,ratio_S3_vector_error,v15_A3_vector_error,v13_A3_vector_error,delta_A3_vector_error,ratio_A3_vector_error
v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,active_probe_01689,coupled_full_random,genetic_algorithm,mixed_failure,0.13541433215141296,0.11793303489685059,0.017481297254562378,1.1482307079594134,9.400511741638184,7.854892253875732,1.5456194877624512,1.196771570863982,10.099578857421875,8.397575378417969,1.7020034790039062,1.2026779638534841,0.0027468204498291016,0.036687374114990234,-0.03394055366516113,0.07487100170264756,7.190275192260742,10.640106201171875,-3.449831008911133,0.6757709985515767,0.25027045607566833,0.3028911352157593,-0.05262067914009094,0.8262719735834874,0.9786697030067444,1.0595183372497559,-0.08084863424301147,0.923693029747013,37.77978515625,42.22666931152344,-4.4468841552734375,0.8946901513243455,33.90740966796875,21.34492301940918,12.56248664855957,1.588546823857662
v13_active_12d_hole_search_expanded_cycle02_20260618_185259_utc,active_probe_04523,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.13539734482765198,0.053184833377599716,0.08221251145005226,2.545788643660175,9.650422096252441,3.5970284938812256,6.053393602371216,2.682887308974178,4.366981506347656,0.798583984375,3.5683975219726562,5.468406068480587,0.006618380546569824,0.000699162483215332,0.005919218063354492,9.46615515771526,10.574655532836914,1.2417478561401367,9.332907676696777,8.515944264004847,0.406020849943161,0.1703997254371643,0.2356211245059967,2.3827553060986775,0.12988077104091644,0.6602383852005005,-0.530357614159584,0.19671799451871372,65.23389434814453,25.320186614990234,39.9137077331543,2.5763591453755046,3.4816689491271973,3.2582125663757324,0.22345638275146484,1.0685825059597098
v13_active_12d_hole_search_expanded_cycle01_20260618_184220_utc,active_probe_02039,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.13539190590381622,0.12703634798526764,0.008355557918548584,1.0657729701070875,7.635501384735107,7.826083660125732,-0.190582275390625,0.9756478101094612,14.743804931640625,12.6507568359375,2.093048095703125,1.1654484488830994,0.038589250296354294,0.0038212724030017853,0.03476797789335251,10.098534264670757,17.534879684448242,7.312093734741211,10.222785949707031,2.3980654954047624,1.1691906452178955,0.9132745265960693,0.25591611862182617,1.2802181722681671,0.3912789523601532,0.3436313271522522,0.047647625207901,1.138659142642108,24.698381423950195,20.89204978942871,3.8063316345214844,1.182190434777131,20.880956649780273,31.162282943725586,-10.281326293945312,0.6700714670837228
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,active_probe_01859,coupled_full_random,high_amp_alignment,mixed_failure,0.13534654676914215,0.13169701397418976,0.0036495327949523926,1.0277115834658759,9.202911376953125,8.352458953857422,0.8504524230957031,1.1018206049013792,5.2613372802734375,2.308197021484375,2.9531402587890625,2.2794142923249816,0.02153756469488144,0.011220179498195648,0.010317385196685791,1.919538337006548,21.319900512695312,6.669833660125732,14.65006685256958,3.1964665985828216,0.19338427484035492,0.4873710572719574,-0.2939867824316025,0.3967906422732952,0.5164670944213867,1.0059146881103516,-0.48944759368896484,0.5134303142462205,25.39400291442871,23.82083511352539,1.5731678009033203,1.0660416729055011,28.47601890563965,47.540592193603516,-19.064573287963867,0.5989832602352614
v13_active_12d_hole_search_expanded_cycle01_20260618_184220_utc,active_probe_04430,coupled_full_random,high_amp_alignment,mixed_failure,0.13526491820812225,0.13626939058303833,-0.0010044723749160767,0.9926287747335013,8.082895278930664,7.874963760375977,0.2079315185546875,1.0264041238641535,7.5754547119140625,8.742279052734375,-1.1668243408203125,0.8665308744113632,0.0064780861139297485,0.027393028140068054,-0.020914942026138306,0.23648667393781805,12.848703384399414,14.650735855102539,-1.802032470703125,0.8770005487420268,0.8547031879425049,0.9747134447097778,-0.12001025676727295,0.876876370774791,0.24651764333248138,0.3615727126598358,-0.11505506932735443,0.6817927202498902,19.0458984375,17.976356506347656,1.0695419311523438,1.0594971473098387,37.6926155090332,31.333147048950195,6.359468460083008,1.202962966029168
v13_active_12d_hole_search_expanded_cycle02_20260618_185259_utc,active_probe_01293,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.13515709340572357,0.069901242852211,0.06525585055351257,1.933543494948724,9.056160926818848,4.5846638679504395,4.471497058868408,1.9753162254984198,3.4905319213867188,2.162933349609375,1.3275985717773438,1.6137954144620812,0.01858508586883545,0.05701041221618652,-0.038425326347351074,0.32599458846850315,6.347867965698242,2.356586217880249,3.991281747817993,2.693671004920055,0.5570662021636963,0.15497812628746033,0.40208807587623596,3.59448275384634,0.6064112186431885,0.8842613697052002,-0.2778501510620117,0.6857827780550417,54.03168869018555,20.79242515563965,33.2392635345459,2.598623695203261,16.995193481445312,14.393824577331543,2.6013689041137695,1.1807281233794247
v13_active_12d_hole_search_expanded_cycle03_20260618_190539_utc,active_probe_01894,coupled_full_random,high_amp_oblique,coverage_limited_sparse_failure,0.13514822721481323,0.30375856161117554,-0.1686103343963623,0.44491989459644915,8.226611137390137,20.776329040527344,-12.549717903137207,0.39596076483689197,9.7332763671875,71.8587417602539,-62.125465393066406,0.13545013631968594,0.013185858726501465,0.2864929437637329,-0.27330708503723145,0.0460250732645467,9.06201171875,20.562650680541992,-11.500638961791992,0.44070250764533936,0.8524669408798218,0.9818118214607239,-0.1293448805809021,0.8682589904158367,1.635756492614746,1.438623309135437,0.19713318347930908,1.1370290486936288,26.368709564208984,77.22462463378906,-50.85591506958008,0.3414546809292169,28.371906280517578,32.87942886352539,-4.5075225830078125,0.8629075157686754
v13_active_12d_hole_search_expanded_cycle02_20260618_185259_utc,active_probe_02246,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.13511435687541962,0.07006043940782547,0.06505391746759415,1.9285399580341183,9.036430358886719,4.590193271636963,4.446237087249756,1.9686383174153648,3.534271240234375,2.4318389892578125,1.1024322509765625,1.4533327477050693,0.01812160015106201,0.05870246887207031,-0.0405808687210083,0.30870252136335574,6.265045166015625,2.313725233078003,3.951319932937622,2.7077740591008244,0.5650546550750732,0.14948631823062897,0.4155683368444443,3.779975731312757,0.6046844720840454,0.9259512424468994,-0.321266770362854,0.6530413744962628,54.032718658447266,20.719785690307617,33.31293296813965,2.6077836646603396,17.69536781311035,14.686029434204102,3.00933837890625,1.2049116401671804
v13_active_12d_hole_search_expanded_cycle02_20260618_185259_utc,active_probe_01256,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.13508309423923492,0.05240540951490402,0.0826776847243309,2.5776555414726317,9.631625175476074,3.4657506942749023,6.165874481201172,2.7790877143548216,7.475303649902344,4.3767852783203125,3.0985183715820312,1.7079438845058343,0.03950381278991699,0.03607141971588135,0.0034323930740356445,1.0951554749181234,9.530595779418945,2.061237096786499,7.469358682632446,4.62372610811114,0.3501019775867462,0.18138182163238525,0.16872015595436096,1.930193304025327,0.24232642352581024,0.610138475894928,-0.36781205236911774,0.39716627142776895,60.8858757019043,23.024255752563477,37.86161994934082,2.6444231838036885,6.269519329071045,4.0120849609375,2.257434368133545,1.5626586650363588
v13_active_12d_hole_search_expanded_cycle03_20260618_190539_utc,active_probe_01884,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.13496503233909607,0.18591037392616272,-0.05094534158706665,0.72596826895039,6.942100524902344,10.794608116149902,-3.8525075912475586,0.6431081564245218,8.824745178222656,9.884498596191406,-1.05975341796875,0.8927863252085357,0.037973206490278244,0.06139199063181877,-0.023418784141540527,0.6185368172537666,8.48099422454834,11.200418472290039,-2.719424247741699,0.7572033353513009,1.5690351724624634,1.4772651195526123,0.09177005290985107,1.0621215865014422,0.494887113571167,0.4440767765045166,0.05081033706665039,1.114417910944581,31.702638626098633,47.30323791503906,-15.60059928894043,0.6702001812865214,21.250648498535156,38.520137786865234,-17.269489288330078,0.5516763365727444
