split,row_key,row_index,sweep_label,dataset_version,nn_distance_12d,overall_abs_error,weighted_abs_error,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,nn_distance_quartile
stress,30c5dac74d34487bf6bd,545175,coupled_sparse_random,enhanced_v12_benchmark_v2,0.6888471841812134,2.556846857070923,0.038642387837171555,4.868971347808838,0.05427861213684082,6.966622465703662,0.06602186994035049,0.29756563760458615,9.504743317967439,1.534158987612892,0.0,90.30765285375254,1.2283124652894348,161.73374567368643,-143.94090073006322,q4_farthest
blind,db73895b899363b19ffa,548550,coupled_full_random,enhanced_v12_benchmark_v2,0.5825018286705017,2.631342649459839,0.03863871470093727,1.2780418395996094,0.016996145248413086,2.1982370905555975,0.13703194885249434,0.18355957889577557,19.301804440531537,3.985536303107464,93.68828590652238,49.204801568132154,1.6154716514586134,-101.6687647303819,-16.432284784386468,q4_farthest
stress,9aefda0495a31858b805,536090,coupled_full_random,enhanced_v12_benchmark_v2,0.7105951309204102,2.3287012577056885,0.038575492799282074,6.507244110107422,6.486475467681885e-05,4.04569616713314,0.2977272532638194,0.06511004356995355,9.518857230884901,2.125177549565958,99.83667364779119,71.49903253123925,2.4394927525627796,-154.58273678321362,129.515664977832,q4_farthest
blind,b8d3a5bc5d641d3974cf,563298,coupled_full_random,enhanced_v12_benchmark_v2,0.5106776356697083,2.444382905960083,0.03857000544667244,5.936286926269531,0.03776276111602783,2.2102041010070734,0.10230667641773937,0.604719736653248,5.7996188392772785,10.148610534296795,90.27721457459016,62.397365146044756,0.8493191179156743,-143.72579120053555,-44.134881479759315,q4_farthest
stress,1e7e096cd778a50ecb2b,542555,coupled_full_random,enhanced_v12_benchmark_v2,0.690680205821991,2.4117798805236816,0.03856772184371948,3.256650924682617,0.02003347873687744,3.2349795703066557,0.1797970902120599,0.34038825227599745,8.678809119343665,9.270035908294542,73.78959936566623,71.97490192168218,2.9016159740830503,-130.78173739384516,-61.06600530583228,q4_farthest
stress,9faf1f152c57e49845c0,522402,coupled_full_random,enhanced_v12_benchmark_v2,0.5948892831802368,2.514530658721924,0.038561053574085236,0.8096847534179688,0.010888457298278809,1.8757290122611048,0.18171850279123947,0.24799998466112824,16.045333338450487,2.76755780907686,40.267753168795934,5.512914536652443,1.3104281259538193,-12.501456585041922,12.81201796605447,q4_farthest
blind,50c5a9ff4787a1ab07d8,526682,coupled_sparse_random,enhanced_v12_benchmark_v2,0.2922687232494354,2.6352622509002686,0.03853868693113327,0.5909109115600586,0.01481136679649353,6.2836001259067995,0.042493541634447095,0.2368195152993869,9.733189888394019,5.813444005254296,45.845511654258296,66.21495575086404,0.0,-17.448148670643604,71.73053039050563,q4_farthest
blind,12a4958a6525987dbcba,502947,coupled_full_random,enhanced_v12_benchmark_v2,0.6813966631889343,2.6565544605255127,0.03849370777606964,0.5356216430664062,0.0044786930084228516,2.305883748368378,0.1295892400613867,0.10011027231469993,15.487801449722971,6.395880744809555,66.36644946036326,84.14183091710068,1.4871471618916885,-109.34380895310306,-27.253654765297455,q4_farthest
stress,64aa2ab9f46691871f47,543423,coupled_full_random,enhanced_v12_benchmark_v2,0.610565185546875,2.7221710681915283,0.03844775632023811,3.1269092559814453,0.0377579927444458,1.9939220362315029,0.041921954272030215,0.26014249535332995,16.542463282597165,2.36615519101238,30.740139803621165,94.92190087485392,2.3088593853844928,-89.11353108201766,79.02292606465613,q4_farthest
stress,08b7f3794d0a83fe2c8b,520428,coupled_full_random,enhanced_v12_benchmark_v2,0.48122990131378174,2.7014448642730713,0.03840792179107666,6.993217468261719,0.01279604434967041,1.9908423279647476,0.11044623729901895,0.10921029101927669,14.590072229863218,3.446440922206652,17.908647014467448,37.86131686904114,1.7892294044564456,72.60957328103211,86.31375431077356,q4_farthest
stress,82ad75ce568b6df73c53,3717,coupled_full_random,parent_cached_dataset,0.3980834484100342,2.655857801437378,0.03840078413486481,2.436769485473633,0.008107423782348633,4.01359930623354,0.14202389717444305,0.1419710393423124,18.323355074677334,2.2886513940128563,1.5567371414809905,80.0630090214715,1.2391104519428207,12.348083213247207,-151.4912411880162,q4_farthest
stress,9a9355cb688d373a5e58,521911,coupled_full_random,enhanced_v12_benchmark_v2,0.5037376880645752,2.5283637046813965,0.03837239742279053,1.7867965698242188,0.05529177188873291,1.5536754322867343,0.1344957592677522,0.15968361096108036,17.17483690501457,3.5866993231143343,94.7864822320682,86.61434591479936,1.6775335381221885,25.10465032788585,94.71972145038905,q4_farthest
stress,741ec2cf31d39f95817c,554588,coupled_full_random,enhanced_v12_benchmark_v2,0.8791543841362,2.1924986839294434,0.03831232711672783,2.251190185546875,0.021748661994934082,7.269811898674069,0.25667753425287276,0.25338541739165815,6.701419984035086,3.8960214970730327,46.600612772986985,86.47497889323203,2.8603981150096818,153.3797790012194,-123.58549084701372,q4_farthest
blind,278184c1543d46512e07,507324,coupled_full_random,enhanced_v12_benchmark_v2,0.7321404814720154,2.027829885482788,0.03830455616116524,0.927032470703125,7.547438144683838e-05,4.9493667683610365,0.3878123529860349,0.19935784797674322,7.042986221482647,4.673578493804514,37.5840941991344,75.4134999959662,2.6726927280340966,-150.91356122022742,145.85043462952922,q4_farthest
