source_run,cluster_id,n,median_weighted_error,median_nn_distance_12d,dominant_regime,dominant_failure_class,center_C1,center_C3,center_A1_x,center_A1_y,center_B2_x,center_B2_y,center_A2_x,center_A2_y,center_S3_x,center_S3_y,center_A3_x,center_A3_y
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,2,43,0.0972866639494896,1.0282557010650635,coupled_full_random,mixed_failure,-75.22434227965601,0.17435041009340174,-31.456404076066132,22.414108541469243,-2.279376741065535,0.22276555192331934,-7.440928394018218,4.59876778583194,25.757695026175924,72.9478405797204,1.2468678535417064,37.5509972683219
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,2,39,0.09620846062898636,1.0201799869537354,coupled_full_random,coverage_limited_sparse_failure,-77.52510305551381,0.42747095313209754,-32.89100556075573,16.13949927916894,-1.4529919551733212,-0.6314901566276183,-6.333416052353688,-3.9489066883539543,-2.9545951677629585,79.49108578608586,0.838024720167502,-73.2740231462014
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,3,39,0.09607572853565216,0.9828528761863708,coupled_full_random,coverage_limited_sparse_failure,-77.91571820087923,0.23787126489556754,27.47013452878365,15.937227408473316,1.635244875191113,0.8301316789614084,-1.012832977832892,4.876149075153546,40.0505616129973,-61.978158393349425,26.28868184945522,-44.763175206306656
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,5,42,0.09523903205990791,0.9825547337532043,coupled_full_random,coverage_limited_sparse_failure,-82.4101565451849,0.36894576952216174,0.8369496890476772,-32.80614519119263,0.13022066998694626,-1.6484266448588603,-1.2316745636718613,-4.914518195958364,-68.15674798829214,-26.403754160517728,-6.827293782007124,14.476172098091672
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,6,49,0.09089262038469315,1.0616340637207031,coupled_full_random,coverage_limited_sparse_failure,-86.79662151725924,0.39488946912544115,13.27565258863021,-0.32156998770577433,1.4105113881583113,1.3809815139642785,-13.455219516948778,-0.4405724330216038,80.37669181823729,10.352294546000808,71.74617222863799,-17.62649448550478
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,4,25,0.09083351492881775,1.0868854522705078,coupled_full_random,coverage_limited_sparse_failure,89.65047119140625,1.9685861158370972,-23.605585775375367,2.0127051830291727,1.5938214108347895,0.38877589307725413,-6.842208867073059,4.6311107969284055,8.052545051574706,39.432278137207035,-15.21849301338196,57.41598960876465
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,0,48,0.08931280672550201,1.0145041942596436,coupled_full_random,coverage_limited_sparse_failure,-79.4416039586067,0.2499564252793789,30.528811492646735,-22.208895780146115,1.923277656858166,-1.1129959225654602,3.6097268607312194,4.621987219899892,-31.751805930087972,-77.17824101448059,-10.262309657099344,-27.904144257307056
v13_active_12d_hole_search_20260618_025610_utc,6,34,0.08911728486418724,1.0104803442955017,coupled_full_random,coverage_limited_sparse_failure,-60.63398950240191,0.4038964462850024,30.303124539992385,-7.9356058415244615,0.927961663562147,1.2622741161681272,-3.0932727255584562,0.5762115892241982,45.227220857844635,-46.498951238744404,-15.618143165812775,-37.39479102807886
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,5,40,0.08884761855006218,1.0388486981391907,coupled_full_random,coverage_limited_sparse_failure,-80.7274243056774,0.2581033846363425,17.591038206219668,31.5584612429142,-0.05261613950133324,1.9015497514978053,1.4020199343562125,1.1660350561141968,78.50633220672607,15.028751921653743,-68.55349717140197,-15.337511856108904
v13_active_12d_hole_search_20260618_025610_utc,4,37,0.08853064477443695,1.0918517112731934,coupled_full_random,coverage_limited_sparse_failure,-69.93182844729036,0.5526045841743817,44.281554093232025,-1.8251944748131024,-1.3761782750890064,1.464859970920795,0.6914425886966087,-15.022057713689032,40.58549339706835,34.26168928919611,30.73581958461452,71.29968465341105
