split,row_key,row_index,sweep_label,dataset_version,nn_distance_12d,overall_abs_error,weighted_abs_error,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,nn_distance_quartile
blind,68a4be7e52766177d64a,502523,coupled_full_random,enhanced_v12_benchmark_v2,0.5733428001403809,1.5159438848495483,0.02245633862912655,2.3135299682617188,0.019618749618530273,1.7236140716815234,0.02985945571265497,0.3019981102555281,5.231865129360316,4.8880266420253315,37.25334419788861,92.11020436681355,0.7251564119599234,-41.81151519535794,-53.482565098864285,q4_farthest
stress,3c18df2c57e4174b0d3f,565899,coupled_full_random,enhanced_v12_benchmark_v2,0.4561358690261841,1.3679734468460083,0.022455237805843353,3.3089599609375,0.023289084434509277,1.405329056940043,0.12231346027249973,0.3164509366356296,4.445199381761301,3.270528293798869,61.20318234024382,17.164115186959947,0.8081122638128099,156.5741328290282,-37.61589291699886,q4_farthest
stress,f3a41ff28de427607838,518103,coupled_full_random,enhanced_v12_benchmark_v2,0.41642409563064575,1.4604202508926392,0.022452933713793755,0.30937957763671875,0.01007544994354248,0.861569297497778,0.11552038036993996,0.20859575580681794,8.849302072631836,3.024896135115907,78.03778328728474,20.316343897116017,0.6787530752063069,-79.02320462944624,42.876839175545825,q4_farthest
stress,86667d5d2a57f45a799e,3881,coupled_full_random,parent_cached_dataset,0.4328896403312683,1.4520856142044067,0.02245103009045124,2.098358154296875,0.01251363754272461,1.7154709645039246,0.1301490243468127,0.0686730799796959,7.7273042922482755,1.4874164082215393,89.20213896743938,0.0,0.7042653704272681,-17.632879885873393,97.36250004758915,q4_farthest
blind,c632a82d01e414610ebc,523329,coupled_full_random,enhanced_v12_benchmark_v2,0.46712833642959595,1.6276007890701294,0.022446192800998688,0.8424184918403625,0.010372757911682129,2.17143679643577,0.01943146757277343,0.09368276769725463,10.13750295855086,1.65627543910151,20.370105666322345,30.264492190466413,1.7058006480277914,-34.241853509721466,-107.14080217957165,q4_farthest
stress,cb0b657c93e4b8b539ed,532226,coupled_full_random,enhanced_v12_benchmark_v2,0.6756718158721924,1.536159873008728,0.022442040964961052,0.22376441955566406,0.00644993782043457,1.8657876592387796,0.06954584916317236,0.056494569582660865,9.255483264685362,2.0593618401418956,6.9113455860605875,66.4405657073952,2.319185769731913,-164.82909372463908,130.0412518647907,q4_farthest
stress,e3d5f410f74a5425a64b,539208,coupled_full_random,enhanced_v12_benchmark_v2,0.5614919662475586,1.501879334449768,0.0224332083016634,2.893047332763672,0.006632685661315918,1.321253812612988,0.07477456701934734,0.23282470545143555,7.675693877662838,2.006911251741167,67.64396934082099,13.630172760654897,1.4131139790874192,-97.26619315863952,56.700784233387,q4_farthest
stress,ccf7acb67a221df54b7b,554920,coupled_full_random,enhanced_v12_benchmark_v2,0.5198245644569397,1.4456945657730103,0.022416016086935997,5.629096984863281,0.020915508270263672,0.6118113564190776,0.09332518527496625,0.12365549079304242,3.920546924917491,5.149561343120959,40.36300281568622,88.60922405939144,2.1432647495616575,47.4196982141458,177.32257632014864,q4_farthest
stress,0113e27abcefe947850c,541244,coupled_full_random,enhanced_v12_benchmark_v2,0.48782551288604736,1.5291193723678589,0.02241572178900242,2.5127410888671875,0.01692652702331543,0.6874559588007749,0.014193685211159192,0.3335575358269935,5.782199722514175,5.838776881646859,5.485086034109868,62.225650942743314,1.3637472481184654,-139.39279710767164,179.89587305892746,q4_farthest
stress,7e2f298f6bf5ced5c930,520225,coupled_full_random,enhanced_v12_benchmark_v2,0.5430892109870911,1.383819580078125,0.02241450920701027,1.029632568359375,0.0022614002227783203,2.617615681478042,0.11928225863072649,0.24760779962046287,7.4290657275181475,3.1906691715115794,50.86224643313549,81.89508875542789,1.6980842878577789,124.51353810052444,-59.94996959747141,q4_farthest
blind,078e58e16d57a7592023,568089,coupled_C1_A1_C3_A2_random,enhanced_v12_benchmark_v2,0.12608040869235992,1.4696636199951172,0.02241271175444126,1.4276504516601562,0.017367839813232422,1.2525405346300547,0.031446765625796756,0.5157905863603841,8.78861952874971,1.040784316312897,0.0,0.0,0.0,0.0,0.0,q3
blind,4ca26676c423126fd18e,505384,coupled_sparse_random,enhanced_v12_benchmark_v2,0.3092423975467682,1.5063014030456543,0.022412342950701714,1.0136396884918213,0.011752903461456299,2.688033360445638,0.08572973641553414,0.13265951894112296,9.369652835230783,0.8084457982785358,91.54587339634627,0.0,0.0,114.57085583055698,114.57085583055698,q4_farthest
stress,50b7a4db8771b8f730b2,573961,coupled_full_random,enhanced_v12_benchmark_v2,0.4564478397369385,1.4943910837173462,0.02241114154458046,2.8369827270507812,0.001287698745727539,1.71669225307554,0.0564651830001786,0.24638578116694637,5.331678008109247,4.062048147279346,6.116754846157589,73.7287605794167,2.186290316589463,-169.95012640220705,-6.288824743954933,q4_farthest
blind,ab921993a9ae5698eb06,541995,coupled_full_random,enhanced_v12_benchmark_v2,0.5752338171005249,1.508201241493225,0.02240411750972271,1.2091827392578125,0.0007975101470947266,1.280781124519633,0.07060070126096128,0.14653647151678242,7.3691956616885745,5.637940129690803,48.99247572132194,90.30728266203701,0.15603251280146924,-144.57870391724208,114.70535140580193,q4_farthest
